laneID,tLinkID,time,speed,dis
34713,162,4522.44,15,-1
34712,162,4522.68,16.667,-1
34713,162,4524.04,13.636,-1
34711,162,4524.36,16.667,-1
34713,162,4525.16,13.636,-1
34712,162,4526.08,18.75,-1
34713,162,4527.48,15,-1
34711,162,4533.2,15,-1
34711,162,4534.4,13.636,-1
34713,162,4534.68,15,-1
34713,162,4535.4,12.5,-1
34712,162,4535.48,10,-1
34711,162,4535.6,8.8235,-1
34713,162,4536.48,18.75,-1
34712,162,4538.28,12.5,-1
34713,162,4539.52,16.667,-1
34712,162,4541.08,16.667,-1
34713,162,4544.32,16.667,-1
34711,162,4546.24,18.75,-1
34713,162,4546.96,18.75,-1
34712,162,4547.36,11.538,-1
34713,162,4551.76,15,-1
34711,162,4552.84,16.667,-1
34712,162,4553.12,13.636,-1
34712,162,4553.76,15,-1
34713,162,4554.12,18.75,-1
34712,162,4554.84,15,-1
34712,162,4556.04,10.714,-1
34713,162,4556.48,15,-1
34712,162,4557.2,18.75,-1
34712,162,4558.64,21.429,-1
34713,162,4559.08,16.667,-1
34711,162,4559.28,15,-1
34713,162,4560.68,11.538,-1
34712,162,4562.32,21.429,-1
34711,162,4563.36,16.667,-1
34712,162,4565.76,15,-1
34711,162,4566.04,15,-1
34711,162,4569.36,12.5,-1
34713,162,4569.96,30,-1
34712,162,4571.12,12.5,-1
34713,162,4571.56,18.75,-1
34711,162,4572.56,21.429,-1
34713,162,4572.88,21.429,-1
34712,162,4573.2,16.667,-1
34713,162,4573.8,11.538,-1
34711,162,4574.52,15,-1
34713,162,4574.8,21.429,-1
34712,162,4575.76,16.667,-1
34712,162,4577.32,13.636,-1
34711,162,4577.36,50,-1
34713,162,4580.6,21.429,-1
34713,162,4582.12,15,-1
34713,162,4585.16,16.667,-1
34713,162,4586.36,16.667,-1
34711,162,4586.68,13.636,-1
34712,162,4588.72,21.429,-1
34712,162,4592.4,18.75,-1
34711,162,4593.08,16.667,-1
34713,162,4593.52,13.636,-1
34712,162,4594.44,18.75,-1
34711,162,4597,18.75,-1
34712,162,4597.48,25,-1
34712,162,4598.92,15,-1
34712,162,4600.52,30,-1
34713,162,4600.76,18.75,-1
34712,162,4601.44,16.667,-1
34712,162,4602.72,15,-1
34713,162,4603.88,13.636,-1
34712,162,4605.2,13.636,-1
34711,162,4605.48,30,-1
34713,162,4605.92,16.667,-1
34712,162,4606.76,10,-1
